Papel,Segmento,Cotacao,FFOYield,DividendYield,P/VP,ValorMercado,Liquidez,QuantidadeDeImoveis,PrecoPorM2,AlugelPorM2,CapRate,VacanciaMedia
FMOF11,Lajes Corporativas,"70,04","0,95%","0,96%","0,53",35.580.900,1.601,2,"2.112,86","166,71","7,89%","39,48%"
FPAB11,Lajes Corporativas,"246,59","7,96%","7,36%","0,55",184.942.000,19.090,2,"4.053,06","414,40","10,22%","30,35%"
FPNG11,Lajes Corporativas,"100,00","6,16%","6,09%","0,60",99.050.000,0,6,"6.150,83","470,58","7,65%","27,37%"
FRBR11,Títulos e Val. Mob.,"103,71","4,58%","0,00%","1,00",352.319.000,0,0,"0,00","0,00","0,00%","0,00%"
FTCE11B,Híbrido,"2.950,01","-1,48%","6,95%","1,10",2.585.750.000,0,70,"2.118,80","30,54","1,44%","0,00%"
FVBI11,Lajes Corporativas,"159,71","0,00%","132,72%","0,00",0,0,1,"0,00","636,95","0,00%","0,00%"
FVPQ11,Shoppings,"122,47","2,78%","3,24%","0,62",342.934.000,77.937,1,"5.920,86","585,31","9,89%","5,70%"
GALG11,Híbrido,"106,00","6,69%","6,32%","1,02",594.981.000,1.154.370,6,"1.078,52","54,83","5,08%","0,00%"
GCFF11,Títulos e Val. Mob.,"80,40","1,55%","12,30%","0,85",27.223.300,77.404,0,"0,00","0,00","0,00%","0,00%"
GCRI11,Títulos e Val. Mob.,"99,85","2,42%","3,93%","0,98",85.932.300,202.271,0,"0,00","0,00","0,00%","0,00%"
GESE11B,Outros,"1.520,00","6,96%","7,86%","0,92",79.040.000,0,1,"6.209,13","463,98","7,47%","0,00%"
GGRC11,Logística,"118,48","6,52%","7,39%","0,90",919.219.000,1.595.400,16,"1.013,95","94,14","9,28%","0,00%"
GRLV11,Logística,"145,50","5,72%","108,73%","24,38",156.199.000,0,1,"0,00","183,00","0,00%","3,69%"
GTWR11,Lajes Corporativas,"94,98","8,33%","8,56%","0,94",1.139.760.000,1.564.850,3,"12.645,40","1.141,64","9,03%","0,00%"
GWIR11,Shoppings,"175,99","2,80%","0,00%","0,74",67.231.200,0,0,"0,00","0,00","4,21%","0,00%"
HAAA11,Lajes Corporativas,"97,90","4,53%","4,25%","1,02",265.309.000,27.860,1,"41.750,30","1.061,06","2,54%","3,22%"
HABT11,Títulos e Val. Mob.,"124,60","11,98%","14,71%","1,27",674.349.000,3.736.840,0,"0,00","0,00","0,00%","0,00%"
HBCR11,Outros,"105,00","5,87%","1,93%","1,15",28.560.000,784,3,"6.089,52","184,50","3,03%","0,00%"
HBRH11,Híbrido,"86,00","9,67%","9,14%","0,79",193.128.000,148.400,4,"7.263,29","784,90","10,81%","0,00%"
HBTT11,Títulos e Val. Mob.,"1.055,00","6,53%","0,00%","1,19",190.126.000,0,0,"0,00","0,00","0,00%","0,00%"
HCHG11,Outros,"93,87","0,70%","0,82%","0,96",112.644.000,35.327,0,"0,00","0,00","0,00%","0,00%"
HCRI11,Hospital,"399,99","8,94%","8,88%","1,31",79.998.000,41.218,1,"14.408,00","1.372,28","9,52%","0,00%"
HCTR11,Títulos e Val. Mob.,"122,85","8,82%","17,84%","1,07",1.788.750.000,11.226.100,0,"0,00","0,00","0,00%","0,00%"
HFOF11,Títulos e Val. Mob.,"88,00","6,61%","8,68%","0,93",2.021.800.000,2.767.910,0,"0,00","0,00","0,00%","0,00%"
HGBS11,Shoppings,"188,29","5,39%","3,70%","0,88",1.882.900.000,1.392.460,12,"3.600,75","110,93","3,08%","6,94%"
HGCR11,Títulos e Val. Mob.,"103,84","5,89%","8,37%","1,01",1.284.760.000,2.313.510,0,"0,00","0,00","0,00%","0,00%"
HGFF11,Títulos e Val. Mob.,"78,10","5,58%","8,64%","0,82",223.647.000,417.908,0,"0,00","0,00","0,00%","0,00%"
HGIC11,Títulos e Val. Mob.,"107,90","2,02%","3,60%","1,04",25.101.000,134.274,0,"0,00","0,00","0,00%","0,00%"
HGJH11,Lajes Corporativas,"191,29","8,14%","0,00%","0,79",335.342.000,0,2,"25.237,50","1.906,04","7,55%","0,00%"
HGLG11,Logística,"162,81","6,40%","8,07%","1,11",3.001.720.000,8.241.980,17,"2.934,54","194,03","6,61%","14,00%"
HGPO11,Lajes Corporativas,"224,50","6,94%","5,82%","0,93",393.561.000,251.491,2,"29.619,00","1.906,04","6,44%","0,00%"
HGRE11,Lajes Corporativas,"133,07","5,57%","6,79%","0,79",1.572.590.000,2.252.560,21,"7.683,59","578,51","7,53%","22,34%"
HGRU11,Híbrido,"116,65","6,37%","7,31%","0,99",2.147.110.000,4.474.800,81,"6.708,47","496,39","7,40%","0,00%"
HLOG11,Logística,"107,90","5,58%","7,73%","0,95",458.575.000,75.794,4,"1.470,47","66,86","4,55%","3,82%"
HMOC11,Shoppings,"226,95","2,17%","156,36%","0,95",86.698.800,0,0,"0,00","0,00","3,27%","0,00%"
HOSI11,Híbrido,"78,52","8,86%","8,19%","0,85",45.027.300,41.917,0,"0,00","0,00","0,00%","0,00%"
HPDP11,Shoppings,"84,36","3,25%","3,57%","0,88",245.387.000,14.099,1,"1.904,96","69,34","3,64%","3,14%"
HRDF11,Híbrido,"1,42","-3,87%","0,00%","0,94",10.773.700,7.084,0,"0,00","0,00","0,00%","0,00%"
HREC11,Títulos e Val. Mob.,"99,03","6,75%","7,76%","1,05",116.509.000,1.186.770,0,"0,00","0,00","0,00%","0,00%"
HSAF11,Títulos e Val. Mob.,"92,13","2,82%","9,81%","0,95",163.404.000,420.497,0,"0,00","0,00","0,00%","0,00%"
HSLG11,Logística,"94,32","6,36%","5,25%","0,84",1.194.100.000,695.559,5,"2.651,33","228,07","8,60%","3,32%"
HSML11,Shoppings,"80,99","5,38%","6,00%","0,85",1.278.070.000,2.409.740,5,"8.080,22","387,73","4,80%","7,42%"
HSRE11,Híbrido,"97,39","5,11%","4,18%","1,00",829.574.000,1.068.900,28,"8.082,76","689,84","8,53%","0,00%"
HTMX11,Hotel,"100,10","-3,28%","0,00%","0,77",125.828.000,207.429,24,"52,73","0,01","0,02%","0,00%"
HUSC11,Outros,"119,91","7,05%","7,43%","0,92",95.282.000,10.982,1,"1.295,45","110,12","8,50%","0,00%"
IBCR11,Títulos e Val. Mob.,"107,50","0,81%","0,00%","1,10",86.314.000,12.236,0,"0,00","0,00","0,00%","0,00%"
IBFF11,Títulos e Val. Mob.,"65,80","3,62%","7,91%","0,81",43.867.600,166.052,0,"0,00","0,00","0,00%","0,00%"
IFID11,Títulos e Val. Mob.,"82,01","4,56%","5,72%","0,90",61.355.900,96.771,0,"0,00","0,00","0,00%","0,00%"
IFIE11,Títulos e Val. Mob.,"81,01","6,40%","4,81%","0,93",72.949.000,76.872,0,"0,00","0,00","0,00%","0,00%"
IRDM11,Títulos e Val. Mob.,"116,97","4,90%","11,34%","1,20",2.573.340.000,10.679.000,0,"0,00","0,00","0,00%","0,00%"
JBFO11,Títulos e Val. Mob.,"93,84","2,40%","1,34%","0,99",120.028.000,44.804,0,"0,00","0,00","0,00%","0,00%"
JFLL11,Residencial,"82,02","5,56%","5,37%","0,85",123.079.000,75.311,2,"8.389,20","482,04","5,75%","39,05%"
JPPA11,Títulos e Val. Mob.,"98,59","8,28%","10,46%","0,95",59.544.800,52.359,0,"0,00","0,00","0,00%","0,00%"
JPPC11,Híbrido,"286,00","11,55%","25,22%","0,52",15.730.000,7,0,"0,00","0,00","0,00%","0,00%"
JRDM11,Shoppings,"66,50","2,71%","2,80%","0,75",167.777.000,99.186,1,"5.807,62","302,97","5,22%","3,70%"
JSRE11,Híbrido,"81,23","8,78%","7,87%","0,72",1.686.930.000,2.253.610,6,"14.097,00","1.105,46","7,84%","12,18%"
KFOF11,Títulos e Val. Mob.,"83,90","5,16%","7,93%","0,83",380.345.000,581.017,0,"0,00","0,00","0,00%","0,00%"
KINP11,Residencial,"13,01","-1,27%","14,68%","1,56",92.994.600,4.295,1,"0,00","0,00","0,00%","0,00%"
KISU11,Títulos e Val. Mob.,"8,69","0,93%","5,86%","0,89",384.064.000,2.164.740,0,"0,00","0,00","0,00%","0,00%"
KNCR11,Títulos e Val. Mob.,"94,98","4,20%","4,31%","0,96",3.713.440.000,6.529.900,0,"0,00","0,00","0,00%","0,00%"
KNHY11,Títulos e Val. Mob.,"107,96","4,88%","12,49%","1,08",1.154.180.000,1.661.630,0,"0,00","0,00","0,00%","0,00%"
KNIP11,Títulos e Val. Mob.,"107,44","4,00%","11,98%","1,07",6.353.440.000,8.902.280,0,"0,00","0,00","0,00%","0,00%"
KNRE11,Residencial,"2,13","3,39%","47,71%","1,05",39.505.500,20.880,1,"0,00","0,00","0,00%","0,00%"
KNRI11,Híbrido,"142,17","5,78%","5,74%","0,90",3.434.420.000,4.151.440,19,"4.695,86","347,38","7,40%","0,63%"
KNSC11,Títulos e Val. Mob.,"98,18","0,61%","9,67%","1,04",631.293.000,3.007.940,0,"0,00","0,00","0,00%","0,00%"
LASC11,Shoppings,"90,99","2,40%","5,81%","0,88",229.131.000,474.905,2,"3.323,30","0,00","0,00%","2,68%"
LATR11B,Residencial,"120,00","-2,85%","16,82%","4,53",14.892.500,98,1,"0,00","0,00","0,00%","0,00%"
LFTT11,Residencial,"109,99","-3,19%","6,10%","1,81",772.630.000,509.363,404,"16.085,80","4,52","0,03%","0,00%"
LGCP11,Logística,"89,47","8,60%","6,97%","0,91",244.509.000,354.998,5,"3.013,34","271,94","9,02%","0,00%"
LOFT11B,Residencial,"29,90","-34,48%","43,65%","0,35",58.678.800,0,132,"3.994,95","34,60","0,87%","0,00%"
LUGG11,Residencial,"92,59","9,98%","6,37%","0,74",83.331.000,88.365,4,"3.772,51","552,01","14,63%","2,37%"
LVBI11,Logística,"101,63","5,72%","6,17%","0,89",1.196.710.000,2.287.840,8,"2.157,15","162,03","7,51%","0,00%"
